id,,,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1120,19,Auburn,0.563,8.17,7.33,-0.25,0.277777778,0,0.03276699,0.803738318,0.70228385,0.747816179,0.437,0.724310777,0.66751269,0.366,0.807471264,0.853061224,0.672,0.585714286,0.669908467,0.539559014,0.630727763,0.653225806,0.736842105,0.831880448
1122,20,Austin Peay,0.367,-11,-2.32,-0.125,-0.166666667,-0.7,-0.223300971,0.757009346,0.657422512,0.652487657,0.469,0.568922306,0.541455161,0.355,0.706896552,0.709183673,0.708,0.388888889,0.522311213,0.420233463,0.460916442,0.294354839,0.63327674,0.681195517
1123,21,Ball State,0.618,-1.45,-3.57,0.25,0.333333333,0,0.133495146,0.859813084,0.757748777,0.76490695,0.461,0.799498747,0.711505922,0.379,0.718390805,0.710204082,0.718,0.531746032,0.732837529,0.68612192,0.547169811,0.475806452,0.842105263,0.819427148
1124,22,Baylor NCAA,0.771,19.75,11.87,0.375,0.722222222,0.2,0.390776699,0.872274143,0.751223491,0.742878845,0.471,0.576441103,0.542301184,0.359,0.686781609,0.674489796,0.723,0.715873016,0.760297483,0.705577173,0.485175202,0.669354839,0.796264856,0.768368618
1125,23,Belmont,0.767,4.28,-1.69,0.875,0.611111111,0.7,0.27184466,0.750778816,0.650897227,0.646790733,0.469,0.766917293,0.757191201,0.342,0.574712644,0.531632653,0.768,0.403174603,0.604691076,0.62386511,0.35309973,0.322580645,0.64516129,0.661270237
1126,24,Bethune-Cookman,0.313,-19.44,-11.21,-0.25,0,-1.1,-0.26092233,0.819314642,0.685154976,0.76794531,0.415,0.571428571,0.602368866,0.32,0.527298851,0.565306122,0.662,0.63015873,0.649313501,0.581063554,0.660377358,0.387096774,0.701188455,0.801992528
1127,25,Binghamton,0.375,-11.99,-5.79,-0.625,0,-0.9,-0.115291262,0.800623053,0.626427406,0.667299658,0.437,0.621553885,0.579526227,0.362,0.561781609,0.566326531,0.705,0.398412698,0.603546911,0.531776913,0.450134771,0.314516129,0.674023769,0.678704857
1129,26,Boise State,0.625,5.52,2.72,0.375,0.444444444,0.1,0.152912621,0.797507788,0.661500816,0.684390429,0.45,0.634085213,0.614213198,0.348,0.760057471,0.758163265,0.712,0.49047619,0.651601831,0.501945525,0.425876011,0.310483871,0.694397284,0.824408468
1130,27,Boston College,0.281,2.2,8.08,-0.875,-0.111111111,-0.9,-0.22815534,0.797507788,0.687601958,0.714014432,0.448,0.64160401,0.579526227,0.374,0.543103448,0.567346939,0.68,0.463492063,0.640160183,0.613488975,0.482479784,0.350806452,0.79286927,0.743462017
1131,28,Boston University,0.563,-2.43,-3.66,0.375,0.333333333,-0.3,0.091019417,0.809968847,0.66639478,0.700341815,0.443,0.686716792,0.653976311,0.354,0.619252874,0.631632653,0.696,0.493650794,0.652745995,0.582360571,0.714285714,0.326612903,0.753820034,0.759651308
1132,29,Bowling Green State,0.406,-6,-2,-0.25,0.166666667,-0.9,-0.118932039,0.806853583,0.67862969,0.74325864,0.425,0.551378446,0.544839255,0.342,0.676724138,0.720408163,0.667,0.56031746,0.659610984,0.505836576,0.595687332,0.350806452,0.692699491,0.775840598
1133,30,Bradley,0.394,-2.84,2.94,-0.25,0.055555556,-0.7,-0.20631068,0.825545171,0.596247961,0.654006836,0.425,0.543859649,0.515228426,0.356,0.695402299,0.733673469,0.673,0.471428571,0.661327231,0.482490272,0.547169811,0.475806452,0.847198642,0.836861768
1140,31,Brigham Young,0.647,8.22,1.87,0.375,0.555555556,0.1,0.262135922,0.847352025,0.764274062,0.781238131,0.456,0.576441103,0.565143824,0.344,0.915229885,0.886734694,0.733,0.576190476,0.811212815,0.692607004,0.603773585,0.629032258,0.796264856,0.818181818
1135,32,Brown,0.433,-8.55,-4.08,-0.375,0.111111111,-0.4,-0.076456311,0.747663551,0.599510604,0.630459552,0.443,0.611528822,0.562605753,0.367,0.806034483,0.754081633,0.759,0.436507937,0.53375286,0.517509728,0.614555256,0.225806452,0.730050934,0.743462017
1136,33,Bryant,0.375,-9.69,-5.43,0,0.222222222,-1.3,-0.127427184,0.819314642,0.684339315,0.728066844,0.438,0.593984962,0.593062606,0.338,0.658045977,0.648979592,0.72,0.547619048,0.656750572,0.596627756,0.587601078,0.278225806,0.726655348,0.846824408
1137,34,Bucknell NCAA,0.743,5.89,-2.48,0.75,0.666666667,0.3,0.355582524,0.872274143,0.768352365,0.74477782,0.48,0.71679198,0.637901861,0.379,0.71408046,0.744897959,0.681,0.479365079,0.688215103,0.661478599,0.679245283,0.540322581,0.791171477,0.815691158
1138,35,Buffalo,0.531,0.92,-1.01,0.25,0.222222222,0.1,0.134708738,0.800623053,0.715334421,0.738701101,0.451,0.601503759,0.615059222,0.33,0.706896552,0.725510204,0.692,0.611111111,0.740846682,0.595330739,0.48787062,0.512096774,0.76910017,0.915317559
1139,36,Butler NCAA,0.735,17.7,10.23,0.375,0.555555556,0.3,0.308252427,0.853582555,0.738988581,0.720850741,0.477,0.654135338,0.604060914,0.366,0.75,0.718367347,0.741,0.455555556,0.624141876,0.587548638,0.555256065,0.387096774,0.587436333,0.797011208
1142,37,Cal Poly,0.355,-10.71,-4.22,-0.25,0,-0.6,-0.194174757,0.778816199,0.592169657,0.683630839,0.403,0.646616541,0.641285956,0.34,0.534482759,0.544897959,0.697,0.476190476,0.573798627,0.417639429,0.436657682,0.455645161,0.565365025,0.714819427
1167,38,Cal State Bakersfield,0.714,3.21,-1.94,0.625,0.611111111,0.5,0.324029126,0.887850467,0.730016313,0.772882643,0.44,0.573934837,0.551607445,0.351,0.693965517,0.770408163,0.64,0.687301587,0.77173913,0.657587549,0.770889488,0.552419355,0.881154499,0.98879203
1168,39,Cal State Fullerton,0.531,-7.55,-6.85,0.25,0.444444444,-0.4,0.086165049,0.819314642,0.669657423,0.702620585,0.444,0.49122807,0.533840948,0.311,0.737068966,0.762244898,0.687,0.541269841,0.684210526,0.501945525,0.601078167,0.471774194,0.789473684,0.829389788
1169,40,Cal State Northridge,0.367,-8.34,-4.13,-0.125,0,-0.4,-0.120145631,0.747663551,0.657422512,0.663501709,0.461,0.363408521,0.351099831,0.349,0.83908046,0.817346939,0.729,0.468253968,0.601830664,0.53307393,0.557951482,0.362903226,0.677419355,0.794520548
1413,41,UC-Davis NCAA,0.639,-5.21,-4.68,0.375,0.611111111,-0.3,0.023058252,0.906542056,0.712071778,0.762628181,0.435,0.553884712,0.537225042,0.348,0.801724138,0.844897959,0.674,0.577777778,0.732265446,0.597924773,0.544474394,0.475806452,0.870967742,0.856787049
