id,,,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1120,19,Auburn NCAA,0.781,17.54,7.48,0.375,0.875,0.272727273,0.544839255,0.895104895,0.822748815,0.841276596,0.439,0.797953964,0.653374233,0.366,1,0.908986175,0.786,0.788617886,0.821788837,0.724137931,0.685878963,0.711934156,0.74573055,0.848930481
1122,20,Austin Peay,0.563,-3.38,-2.15,0.125,0.5,-0.363636364,0.091370558,0.902097902,0.807582938,0.798297872,0.454,0.493606138,0.424079755,0.349,0.732258065,0.799539171,0.654,0.841463415,0.756556826,0.659874608,0.608069164,0.403292181,0.867172676,0.856951872
1123,21,Ball State,0.594,-1.04,-1.81,-0.125,0.75,-0.454545455,0.081218274,0.905594406,0.811374408,0.806382979,0.452,0.626598465,0.557515337,0.337,0.730645161,0.74078341,0.705,0.646341463,0.813718897,0.710031348,0.489913545,0.46090535,0.802656546,0.732620321
1124,22,Baylor,0.563,15.03,9.9,0.75,0.625,-0.636363636,0.307952623,0.905594406,0.834123223,0.803829787,0.466,0.52173913,0.441717791,0.354,0.722580645,0.697004608,0.74,0.768292683,0.821116342,0.74137931,0.510086455,0.576131687,0.819734345,0.77540107
1125,23,Belmont,0.727,5.68,-2.75,0.5,0.75,0.272727273,0.470389171,0.923076923,0.854028436,0.788510638,0.486,0.966751918,0.770705521,0.376,0.616129032,0.59562212,0.739,0.524390244,0.761936785,0.829153605,0.463976945,0.33744856,0.777988615,0.709893048
1126,24,Bethune-Cookman,0.563,-12.09,-12.35,-0.75,0.4375,-0.181818182,0.131979695,0.902097902,0.855924171,0.867659574,0.443,0.616368286,0.582055215,0.318,0.925806452,0.943548387,0.701,0.861788618,0.905178211,0.785266458,0.582132565,0.50617284,0.962049336,0.895721925
1127,25,Binghamton,0.355,-10.26,-6.33,0.5,0,-0.818181818,-0.057529611,0.870629371,0.745971564,0.755319149,0.443,0.601023018,0.514570552,0.35,0.54516129,0.608294931,0.64,0.575203252,0.716879623,0.589341693,0.489913545,0.53909465,0.722960152,0.697860963
1129,26,Boise State,0.742,11.68,3.15,-0.25,0.875,0.090909091,0.499153976,0.881118881,0.81042654,0.78212766,0.465,0.764705882,0.597392638,0.384,0.675806452,0.653225806,0.739,0.615853659,0.799596503,0.650470219,0.498559078,0.279835391,0.787476281,0.737967914
1130,27,Boston College,0.559,9.67,7.32,0.125,0.6875,-0.727272727,0.13536379,0.961538462,0.874881517,0.867659574,0.453,0.751918159,0.622699387,0.362,0.759677419,0.733870968,0.739,0.731707317,0.848688635,0.760188088,0.492795389,0.444444444,0.819734345,0.736631016
1131,28,Boston University,0.484,-8.25,-5.75,-0.25,-0.0625,0,-0.067681895,0.867132867,0.758293839,0.736170213,0.462,0.585677749,0.470858896,0.373,0.575806452,0.644009217,0.639,0.601626016,0.702084734,0.65830721,0.659942363,0.423868313,0.810246679,0.709893048
1132,29,Bowling Green State,0.5,-6.24,-2.74,0,0.1875,-0.272727273,-0.10321489,0.912587413,0.783886256,0.835319149,0.421,0.616368286,0.529141104,0.349,0.861290323,0.841013825,0.732,0.756097561,0.824478816,0.666144201,0.544668588,0.341563786,0.774193548,0.760695187
1133,30,Bradley,0.606,2.09,0.37,0.25,0.6875,-0.454545455,0.147208122,0.923076923,0.727962085,0.760851064,0.43,0.554987212,0.470858896,0.353,0.758064516,0.766129032,0.707,0.729674797,0.792199059,0.700626959,0.616714697,0.534979424,0.836812144,0.836898396
1140,31,Brigham Young,0.706,8.56,1.76,-0.375,0.625,0.181818182,0.390862944,0.961538462,0.838862559,0.778297872,0.484,0.560102302,0.476993865,0.352,0.851612903,0.807603687,0.753,0.471544715,0.745796907,0.815047022,0.628242075,0.526748971,0.74573055,0.764705882
