id,,,G,W,L,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1338,241,Pittsburgh,32,8,24,0.25,-1.56,8.78,-18,-4,-10,-331,1290,678,1673,0.405,258,795,0.325,371,534,0.695,247,1007,398,138,112,443,553
1340,242,Portland State,33,20,13,0.606,0.21,-0.82,0,3,5,202,1335,1011,2273,0.445,295,864,0.341,516,735,0.702,478,1270,538,327,115,418,729
1339,243,Portland,32,10,22,0.313,-6.08,2.96,-10,-2,-6,-151,1290,781,1745,0.448,255,665,0.383,404,596,0.678,205,1014,387,165,127,383,576
1341,244,Prairie View,34,16,18,0.471,-9.99,-7.56,6,8,-10,-50,1370,890,2043,0.436,247,752,0.328,532,793,0.671,400,1182,439,257,103,460,748
1342,245,Presbyterian,32,11,21,0.344,-14.31,-5.51,-10,0,-11,-149,1285,749,1760,0.426,276,772,0.358,350,510,0.686,290,1003,368,175,62,368,460
1343,246,Princeton,29,13,16,0.448,-2.28,-1.82,-4,2,-4,23,1200,753,1660,0.454,287,767,0.374,313,443,0.707,220,949,367,137,90,334,504
1344,247,Providence NCAA,34,21,13,0.618,11.22,10.19,2,9,-3,35,1385,872,1975,0.442,217,651,0.333,545,775,0.703,359,1221,468,233,128,424,601
1345,248,Purdue NCAA,34,28,6,0.824,24.14,8.64,12,15,6,527,1365,958,1928,0.497,326,776,0.42,517,696,0.743,287,1191,568,198,171,363,528
1346,249,Quinnipiac,33,12,21,0.364,-9.22,-4.16,-4,0,-9,-167,1355,787,1864,0.422,303,893,0.339,487,690,0.706,330,1142,404,182,86,446,566
1347,250,Radford NCAA,34,22,12,0.647,-2.77,-4.84,6,10,-3,102,1385,802,1882,0.426,263,752,0.35,423,585,0.723,392,1175,415,214,100,413,556
1348,251,Rhode Island NCAA,32,25,7,0.781,12.18,3.9,12,14,3,265,1285,899,1957,0.459,218,623,0.35,422,597,0.707,361,1100,489,240,111,343,609
1349,252,Rice,31,7,24,0.226,-8.93,-0.34,-10,-5,-11,-233,1250,711,1751,0.406,260,818,0.318,432,646,0.669,326,1140,378,166,66,460,509
1350,253,Richmond,32,12,20,0.375,0.02,3.8,0,-3,-4,-121,1295,843,1831,0.46,222,664,0.334,389,544,0.715,248,973,486,244,77,373,518
1351,254,Rider,31,22,9,0.71,1.34,-2.79,12,11,2,128,1245,897,1928,0.465,237,656,0.361,503,828,0.607,406,1222,442,235,105,412,612
1352,255,Robert Morris,33,16,17,0.485,-7.57,-5.69,0,-2,-2,-62,1325,794,1932,0.411,242,729,0.332,442,663,0.667,392,1176,382,256,90,489,662
1353,256,Rutgers,34,15,19,0.441,5.77,7.11,-12,4,-9,12,1375,830,2043,0.406,145,501,0.289,409,635,0.644,447,1317,333,240,136,397,583
1170,257,Sacramento State,32,7,25,0.219,-8.57,-0.4,-10,-3,-11,-201,1285,800,1802,0.444,202,570,0.354,355,519,0.684,266,1024,420,172,110,385,586
1357,258,Sacred Heart,31,10,21,0.323,-11.01,-6.61,-8,-4,-7,-108,1245,796,1823,0.437,179,599,0.299,358,540,0.663,373,1238,400,149,72,460,571
